sangfroidperilouslicentiousebullientabasement
abated	{'Verb': ['make less active or intense', 'become less in amount or intensity']}
conversance	{'Noun': ['personal knowledge or information about someone or something']}
convivial	{'Adjective': ['occupied with or fond of the pleasures of good company']}
convoluted	{'Verb': ['curl, wind, or twist together', 'practice sophistry; change the meaning of or be vague about in order to mislead or deceive'], 'Adjective': ['rolled longitudinally upon itself', 'highly complex or intricate and occasionally devious']}
copious	{'Adjective': ['large in number or quantity (especially of discourse', 'affording an abundant supply']}
cornerstone	{'Noun': ['the fundamental assumptions from which something is begun or developed or calculated or explained', 'a stone in the exterior of a large and important building; usually carved with a date and laid with appropriate ceremonies', 'a stone at the outer corner of two intersecting masonry walls']}
corroborate	{'Verb': ['establish or strengthen as with new evidence or facts', 'give evidence for', 'support with evidence or authority or make more certain or confirm']}
corroborating	{'Verb': ['establish or strengthen as with new evidence or facts', 'give evidence for', 'support with evidence or authority or make more certain or confirm']}
cosmopolitan	{'Noun': ['a sophisticated person who has travelled in many countries'], 'Adjective': ['growing or occurring in many parts of the world', 'composed of people from or at home in many parts of the world; especially not provincial in attitudes or interests', 'of worldwide scope or applicability']}
couched in
counterfactual	{'Adjective': ['going counter to the facts (usually as a hypothesis']}
counterpoint	{'Noun': ['a musical form involving the simultaneous sound of two or more melodies'], 'Verb': ['to show differences when compared; be different', 'write in counterpoint']}
coup	{'Noun': ['a sudden and decisive change of government illegally or by force', 'a brilliant and notable success']}
covey	{'Noun': ['a small collection of people', 'a small flock of grouse or partridge']}
crane	{'Noun': ['United States writer (1871-1900', 'United States poet (1899-1932', 'a small constellation in the southern hemisphere near Phoenix', 'lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis', 'large long-necked wading bird of marshes and plains in many parts of the world'], 'Verb': ['stretch (the neck']}
credence	{'Noun': ['the mental attitude that something is believable and should be accepted as true', 'a kind of sideboard or buffet']}
credible	"{'Adjective': ['capable of being believed', ""(a common but incorrect usage where `credulous' would be appropriate"", 'appearing to merit belief or acceptance']}"
credulous	{'Adjective': ['disposed to believe on little evidence', 'showing a lack of judgment or experience']}
croquet	"{'Noun': ['a game in which players hit a wooden ball through a series of hoops; the winner is the first to traverse all the hoops and hit a peg'], 'Verb': [""drive away by hitting with one's ball"", 'play a game in which players hit a wooden ball through a series of hoops']}"
crouchback	
cubist	{'Noun': ['an artist who adheres to the principles of cubism'], 'Adjective': ['relating to or characteristic of cubism']}
culminate	{'Verb': ['end, especially to reach a final or climactic stage', 'bring to a head or to the highest point', 'reach the highest or most decisive point', 'reach the highest altitude or the meridian, of a celestial body', 'rise to, or form, a summit']}
culmination	{'Noun': ['a final climactic stage', '(astronomy', 'the decisive moment in a novel or play', 'a concluding action']}
culpable	{'Adjective': ['deserving blame or censure as being wrong or evil or injurious']}
cultivate	{'Verb': ['foster the growth of', 'prepare for crops', 'teach or refine to be discriminative in taste or judgment', 'adapt (a wild plant or unclaimed land']}
cultivation	"{'Noun': [""socialization through training and education to develop one's mind or manners"", '(agriculture', 'especially on a large scale', 'a highly developed state of perfection; having a flawless or impeccable quality', 'the process of fostering the growth of something', 'the act of raising or growing plants (especially on a large scale']}"
cumbersome	{'Adjective': ['difficult to handle or use especially because of size or weight', 'not elegant or graceful in expression']}
cunning	{'Noun': ['shrewdness as demonstrated by being skilled in deception', 'crafty artfulness (especially in deception'], 'Adjective': ['attractive especially by means of smallness or prettiness or quaintness', 'marked by skill in deception', 'showing inventiveness and skill']}
curbed	{'Verb': ['lessen the intensity of; temper; hold in restraint; hold or keep within limits', 'keep to the curb', 'place restrictions on']}
curt	{'Adjective': ['marked by rude or peremptory shortness', 'brief and to the point; effectively cut short']}
curtailing	{'Verb': ['place restrictions on', 'terminate or abbreviate before its intended or proper end or its full extent']}
dame	{'Noun': ['informal terms for a (young', 'a woman of refinement']}
daunting	{'Verb': ['cause to lose courage'], 'Adjective': ['discouraging through fear']}
dauntless	{'Adjective': ['invulnerable to fear or intimidation']}
dearth	{'Noun': ['an acute insufficiency', 'an insufficient quantity or number']}
debacle	{'Noun': ['a sudden and violent collapse', 'flooding caused by a tumultuous breakup of ice in a river during the spring or summer', 'a sound defeat']}
debased	{'Verb': ['corrupt morally or by intemperance or sensuality', 'lower in value by increasing the base-metal content', 'corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones'], 'Adjective': ['mixed with impurities', 'lowered in value', 'ruined in character or quality']}
debauchery	{'Noun': ['a wild gathering involving excessive drinking and promiscuity']}
decamped	{'Verb': ['leave a camp', 'run away; usually includes taking something or somebody along', 'leave suddenly']}
decipherable	{'Adjective': ['easily deciphered']}
declarative	{'Noun': ['a mood (grammatically unmarked'], 'Adjective': ['relating to the use of or having the nature of a declaration', 'relating to the mood of verbs that is used simple in declarative statements']}
deem	{'Verb': ['keep in mind or convey as a conviction or view']}
defame	{'Verb': ['charge falsely or with malicious intent; attack the good name and reputation of someone']}
defeasible	{'Adjective': ['capable of being annulled or voided or terminated']}
defer	"{'Verb': ['hold back to a later time', ""yield to another's wish or opinion""]}"
deficient	{'Adjective': ['inadequate in amount or degree', 'of a quantity not able to fulfill a need or requirement', 'falling short of some prescribed norm']}
defile	{'Noun': ['a narrow pass (especially one between mountains'], 'Verb': ['place under suspicion or cast doubt upon', 'make dirty or spotty, as by exposure to air; also used metaphorically', 'spot, stain, or pollute']}
definitive	{'Adjective': ['clearly defined or formulated', 'of recognized authority or excellence', 'supplying or being a final or conclusive settlement']}
deft	{'Adjective': ['skillful in physical movements; especially of the hands']}
deftly	{'Adverb': ['with dexterity; in a dexterous manner', 'in a deft manner']}
deftness	{'Noun': ['skillful performance or ability without difficulty']}
degrade	{'Verb': ['reduce the level of land, as by erosion', 'reduce in worth or character, usually verbally', 'lower the grade of something; reduce its worth']}
deification	{'Noun': ['the condition of being treated like a god', 'an embodiment of the qualities of a god', 'the elevation of a person (as to the status of a god']}
deified	{'Verb': ['consider as a god or godlike', 'exalt to the position of a God']}
